start_time,killerwhale_presence,killerwhale_echo_types,end_time
UTC,boolean,string,UTC
2020-07-13T20:44:05.650Z,1.0,NaN,2020-07-13T21:51:05Z
2020-07-14T10:56:29.092Z,1.0,NaN,2020-07-14T21:08:20Z
2020-07-15T10:25:22.483Z,1.0,NaN,2020-07-15T10:40:44Z
2020-07-15T11:33:21.800Z,1.0,NaN,2020-07-15T19:12:00Z
2020-07-15T19:43:53.208Z,1.0,NaN,2020-07-15T20:23:20Z
2020-07-16T02:59:28.767Z,1.0,NaN,2020-07-16T03:00:02Z
2020-07-16T14:05:04.642Z,1.0,NaN,2020-07-16T15:03:12Z
2020-07-16T16:41:33.633Z,1.0,NaN,2020-07-16T16:41:33Z
2020-07-16T17:10:33.000Z,1.0,NaN,2020-07-16T23:21:20Z
2020-07-17T00:12:27.250Z,1.0,NaN,2020-07-17T00:40:30Z
2020-07-17T01:27:53.542Z,1.0,NaN,2020-07-17T01:30:37Z
2020-07-17T02:29:16.208Z,1.0,NaN,2020-07-17T02:36:14Z
2020-07-17T19:11:39.342Z,1.0,NaN,2020-07-17T19:36:23Z
2020-07-17T21:08:54.108Z,1.0,NaN,2020-07-17T23:50:52Z
2020-07-18T00:28:45.675Z,1.0,NaN,2020-07-18T01:21:03Z
2020-07-19T04:28:51.475Z,1.0,NaN,2020-07-19T04:49:01Z
2020-07-21T14:30:33.208Z,1.0,NaN,2020-07-21T14:38:37Z
2020-07-21T19:13:12.283Z,1.0,NaN,2020-07-22T02:59:21Z
2020-07-23T12:45:36.942Z,1.0,NaN,2020-07-23T14:10:04Z
2020-07-23T21:03:28.458Z,1.0,NaN,2020-07-23T21:53:16Z
2020-07-23T22:03:52.000Z,1.0,NaN,2020-07-24T00:31:09Z
2020-07-25T13:39:37.195Z,1.0,NaN,2020-07-25T15:25:32Z
2020-07-26T01:22:44.785Z,1.0,NaN,2020-07-26T01:30:49Z
2020-07-26T12:28:50.005Z,1.0,NaN,2020-07-26T18:40:19Z
2020-07-26T21:02:27.275Z,1.0,NaN,2020-07-26T22:44:39Z
2020-07-27T00:11:19.490Z,1.0,NaN,2020-07-27T00:22:33Z
2020-07-27T07:22:46.575Z,1.0,NaN,2020-07-27T08:29:35Z
2020-07-27T10:13:50.090Z,1.0,NaN,2020-07-27T12:58:00Z
2020-07-27T14:02:27.805Z,1.0,NaN,2020-07-27T15:12:32Z
2020-07-28T23:48:51.290Z,1.0,NaN,2020-07-29T01:56:42Z
2020-07-29T13:05:43.035Z,1.0,NaN,2020-07-29T13:14:23Z
2020-07-29T15:00:13.520Z,1.0,NaN,2020-07-29T15:00:41Z
2020-07-29T17:20:56.960Z,1.0,NaN,2020-07-29T17:22:51Z
2020-07-30T07:22:13.285Z,1.0,NaN,2020-07-30T07:30:03Z
2020-07-30T15:29:36.265Z,1.0,NaN,2020-07-30T16:15:00Z
2020-07-30T17:07:34.280Z,1.0,NaN,2020-07-30T22:36:25Z
2020-07-31T07:23:43.625Z,1.0,NaN,2020-07-31T11:32:04Z
2020-07-31T12:06:04.465Z,1.0,NaN,2020-07-31T14:21:08Z
2020-08-03T00:42:47.845Z,1.0,NaN,2020-08-03T01:44:45Z
2020-08-04T01:15:07.730Z,1.0,NaN,2020-08-04T01:23:24Z
2020-08-04T02:45:41.100Z,1.0,NaN,2020-08-04T04:30:00Z
2020-08-04T20:13:07.350Z,1.0,NaN,2020-08-04T21:25:02Z
2020-08-06T20:19:42.395Z,1.0,NaN,2020-08-06T20:48:18Z
2020-08-10T07:07:29.115Z,1.0,NaN,2020-08-10T11:08:55Z
2020-08-12T15:12:48.370Z,1.0,NaN,2020-08-12T19:17:33Z
2020-08-13T05:19:04.970Z,1.0,NaN,2020-08-13T05:58:35Z
2020-08-13T07:40:34.250Z,1.0,NaN,2020-08-13T08:35:40Z
2020-08-15T18:55:16.610Z,1.0,NaN,2020-08-15T19:00:23Z
2020-08-17T02:47:45.015Z,1.0,NaN,2020-08-17T04:36:57Z
2020-08-18T03:16:25.405Z,1.0,NaN,2020-08-18T03:19:24Z
2020-08-19T07:46:19.240Z,1.0,NaN,2020-08-19T08:48:34Z
2020-08-19T11:42:56.915Z,1.0,NaN,2020-08-19T15:37:33Z
2020-08-19T18:10:33.580Z,1.0,NaN,2020-08-19T18:59:26Z
2020-08-22T09:10:01.645Z,1.0,NaN,2020-08-22T09:21:26Z
2020-08-22T10:28:24.870Z,1.0,NaN,2020-08-22T12:49:39Z
2020-08-23T13:30:55.780Z,1.0,NaN,2020-08-23T14:59:47Z
2020-08-23T15:02:15.000Z,1.0,NaN,2020-08-23T21:29:01Z
2020-08-24T13:51:54.170Z,1.0,NaN,2020-08-24T14:30:26Z
2020-08-26T14:30:51.655Z,1.0,NaN,2020-08-26T15:28:14Z
2020-08-27T21:16:49.960Z,1.0,NaN,2020-08-27T22:10:35Z
2020-08-29T14:40:13.930Z,1.0,NaN,2020-08-29T15:34:37Z
2020-08-30T18:45:06.065Z,1.0,NaN,2020-08-30T20:02:09Z
2020-08-30T21:29:33.060Z,1.0,NaN,2020-08-30T22:33:54Z
2020-08-31T17:04:07.955Z,1.0,NaN,2020-08-31T17:30:43Z
2020-09-02T10:36:23.195Z,1.0,NaN,2020-09-02T11:25:48Z
2020-09-03T11:56:02.760Z,1.0,NaN,2020-09-03T12:42:51Z
2020-09-03T14:41:38.645Z,1.0,NaN,2020-09-03T16:04:38Z
2020-09-04T04:15:56.375Z,1.0,NaN,2020-09-04T06:20:18Z
2020-09-04T08:46:39.235Z,1.0,NaN,2020-09-04T09:06:56Z
2020-09-05T14:18:29.990Z,1.0,NaN,2020-09-05T15:52:59Z
2020-09-05T16:31:24.170Z,1.0,NaN,2020-09-05T17:30:00Z
2020-09-07T01:25:18.265Z,1.0,NaN,2020-09-07T02:16:15Z
2020-09-10T01:51:38.740Z,1.0,NaN,2020-09-10T03:33:15Z
2020-09-15T04:49:17.265Z,1.0,NaN,2020-09-15T05:08:01Z
2020-09-16T00:35:22.770Z,1.0,NaN,2020-09-16T01:50:13Z
2020-09-18T18:06:01.895Z,1.0,NaN,2020-09-18T19:08:45Z
2020-09-22T01:49:46.600Z,1.0,NaN,2020-09-22T02:10:13Z
2020-09-23T16:00:06.225Z,1.0,NaN,2020-09-23T18:13:34Z
