start_time,killerwhale_presence,killerwhale_echo_types,end_time
UTC,boolean,string,UTC
2021-06-12T07:20:49.548Z,1.0,NaN,2021-06-12T07:46:48Z
2021-06-12T08:31:43.225Z,1.0,NaN,2021-06-12T09:37:00Z
2021-06-12T12:03:19.433Z,1.0,NaN,2021-06-12T17:23:24Z
2021-06-13T11:52:13.341Z,1.0,NaN,2021-06-13T11:54:05Z
2021-06-13T18:45:53.843Z,1.0,NaN,2021-06-13T21:52:26Z
2021-06-14T18:18:55.696Z,1.0,NaN,2021-06-14T21:00:25Z
2021-06-15T10:27:41.784Z,1.0,NaN,2021-06-15T12:02:00Z
2021-06-15T18:47:54.619Z,1.0,NaN,2021-06-16T00:01:45Z
2021-06-16T13:40:19.719Z,1.0,NaN,2021-06-16T14:12:16Z
2021-06-17T14:51:04.492Z,1.0,NaN,2021-06-17T16:05:07Z
2021-06-19T10:54:09.614Z,1.0,NaN,2021-06-19T11:42:35Z
2021-06-19T16:09:02.857Z,1.0,NaN,2021-06-19T19:23:37Z
2021-06-21T07:27:34.075Z,1.0,NaN,2021-06-21T07:55:27Z
2021-06-21T15:16:00.900Z,1.0,NaN,2021-06-21T15:38:50Z
2021-06-21T16:12:40.107Z,1.0,NaN,2021-06-21T17:25:07Z
2021-06-21T19:22:52.167Z,1.0,NaN,2021-06-21T20:21:49Z
2021-06-22T20:00:00.783Z,1.0,NaN,2021-06-22T23:37:04Z
2021-06-23T11:28:06.544Z,1.0,NaN,2021-06-23T14:10:33Z
2021-06-26T03:22:39.123Z,1.0,NaN,2021-06-26T03:43:46Z
2021-06-26T06:37:17.166Z,1.0,NaN,2021-06-26T06:49:51Z
2021-06-27T04:12:00.704Z,1.0,NaN,2021-06-27T07:19:52Z
2021-06-27T15:29:25.508Z,1.0,NaN,2021-06-27T15:56:05Z
2021-06-28T23:33:33.268Z,1.0,NaN,2021-06-29T00:29:09Z
2021-06-29T13:08:23.551Z,1.0,NaN,2021-06-29T15:13:31Z
2021-06-29T17:08:19.869Z,1.0,NaN,2021-06-29T17:21:27Z
2021-06-29T21:14:06.733Z,1.0,NaN,2021-06-29T21:26:53Z
2021-06-30T05:56:02.197Z,1.0,NaN,2021-06-30T06:45:38Z
2021-06-30T14:18:19.242Z,1.0,NaN,2021-06-30T16:00:50Z
2021-07-01T00:13:44.126Z,1.0,NaN,2021-07-01T00:35:11Z
