start_time,killerwhale_presence,killerwhale_echo_types,end_time
UTC,boolean,string,UTC
2019-03-08T20:21:40.003Z,1.0,NaN,2019-03-08T20:57:13Z
2019-03-10T18:59:15.514Z,1.0,NaN,2019-03-10T19:23:51Z
2019-03-10T19:46:59.003Z,1.0,NaN,2019-03-10T20:42:04Z
2019-03-10T21:20:34.240Z,1.0,NaN,2019-10-03T21:50:28Z
2019-03-10T23:26:08.895Z,1.0,NaN,2019-03-11T00:55:09Z
2019-03-11T01:17:29.191Z,1.0,NaN,2019-03-11T01:28:14Z
2019-03-11T01:44:54.000Z,1.0,NaN,2019-03-11T05:09:59Z
2019-03-11T07:13:16.995Z,1.0,NaN,2019-03-11T07:26:14Z
2019-03-14T15:54:04.730Z,1.0,NaN,2019-03-14T17:16:15Z
2019-03-31T04:04:57.450Z,1.0,NaN,2019-03-31T04:06:56Z
2019-04-15T21:38:28.795Z,1.0,NaN,2019-04-15T21:39:53Z
