Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:35,UF,Other,11/9/2023 1:12:12.5,11/9/2023 2:02:52.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:35,UF,Other,11/11/2023 1:16:33.5,11/11/2023 1:55:13.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:36,UF,Other,11/13/2023 1:10:36.5,11/13/2023 1:52:21.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:36,UF,Other,11/15/2023 1:07:41.5,11/15/2023 1:44:51.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:36,UF,Other,11/17/2023 1:09:07.5,11/17/2023 1:41:57.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:36,UF,Other,11/19/2023 1:12:11.5,11/19/2023 1:34:31.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:36,UF,Other,11/21/2023 1:09:14.5,11/21/2023 1:46:29.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:37,UF,Other,11/22/2023 1:18:14.5,11/22/2023 1:42:04.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_06_df24\LTSA_MB05_06_df24_5s_1Hz.ltsa,3/18/2026 11:37,UF,Other,11/23/2023 1:18:14.5,11/23/2023 1:39:04.5,,,,,,,UF440,,
