Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:58,UF,Other,8/4/2022 7:28:46.5,8/4/2022 13:06:49.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:58,UF,Other,8/5/2022 3:05:10.5,8/5/2022 13:11:11.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:58,UF,Other,8/6/2022 2:45:46.5,8/6/2022 13:00:42.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:59,UF,Other,8/7/2022 3:15:33.5,8/7/2022 4:18:08.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:59,UF,Other,8/7/2022 7:51:01.5,8/7/2022 13:17:09.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:59,UF,Other,8/8/2022 3:27:25.5,8/8/2022 4:06:10.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:59,UF,Other,8/8/2022 6:24:38.5,8/8/2022 12:50:17.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 11:59,UF,Other,8/9/2022 3:06:34.5,8/9/2022 4:25:29.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/9/2022 9:18:52.5,8/9/2022 12:51:45.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/10/2022 3:18:26.5,8/10/2022 4:06:06.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/11/2022 2:57:33.5,8/11/2022 4:28:23.5,,,,,,,UF440,,
F:\CHNMS MB05 Data\df24 and LTSA\MB05_02_df24\MB05_02_df24_5s_1Hz_LTSA.ltsa,3/18/2026 12:00,UF,Other,8/11/2022 10:48:05.5,8/11/2022 12:50:07.5,,,,,,,UF440,,
