Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/21/2022 2:59:36.5,8/21/2022 4:03:41.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/21/2022 10:30:48.5,8/21/2022 12:34:23.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:33,UF,Other,8/24/2022 10:27:21.5,8/24/2022 11:59:41.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/25/2022 2:54:44.5,8/25/2022 3:52:49.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/25/2022 8:38:44.5,8/25/2022 11:29:57.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/26/2022 2:51:40.5,8/26/2022 12:30:49.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/27/2022 2:49:56.5,8/27/2022 12:36:33.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/28/2022 2:34:54.5,8/28/2022 11:35:26.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/29/2022 2:57:06.5,8/29/2022 3:32:51.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:34,UF,Other,8/30/2022 2:46:34.5,8/30/2022 3:25:17.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/1/2022 2:46:16.5,9/1/2022 13:17:37.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/2/2022 12:19:23.5,9/2/2022 13:07:03.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/3/2022 2:45:59.5,9/3/2022 3:48:27.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/3/2022 11:50:54.5,9/3/2022 12:56:24.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/5/2022 13:00:38.5,9/5/2022 13:00:38.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/6/2022 2:35:08.5,9/6/2022 4:26:46.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/6/2022 9:20:04.5,9/6/2022 12:30:44.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:35,UF,Other,9/7/2022 2:45:24.5,9/7/2022 11:34:00.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:36,UF,Other,9/8/2022 2:16:55.5,9/8/2022 5:05:12.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:36,UF,Other,9/9/2022 2:27:10.5,9/9/2022 3:23:48.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:36,UF,Other,9/9/2022 11:39:36.5,9/9/2022 13:11:56.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:36,UF,Other,9/13/2022 2:29:35.5,9/13/2022 7:51:13.5,,,,,,,UF440,,
F:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,3/9/2026 9:36,UF,Other,9/14/2022 2:25:02.5,9/14/2022 3:02:10.5,,,,,,,UF440,,
