"Input file","Event Number","Species Code","Call","Start time","End time","Parameter 1","Parameter 2","Parameter 3","Parameter 4","Parameter 5","Parameter 6","Comments","Image","Audio"
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:32","UF","Other","2/4/2023 0:42:38","2/4/2023 14:08:52",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:33","UF","Other","2/5/2023 0:04:40","2/5/2023 11:18:09",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:33","UF","Other","2/6/2023 0:31:14","2/6/2023 13:55:33",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:33","UF","Other","2/7/2023 0:14:12","2/7/2023 10:36:30",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:34","UF","Other","2/8/2023 0:38:52","2/8/2023 14:24:07",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:34","UF","Other","2/9/2023 0:38:51","2/9/2023 14:31:41",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:35","UF","Other","2/10/2023 0:35:06","2/10/2023 13:51:50",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:36","UF","Other","2/11/2023 0:29:20","2/11/2023 14:33:35",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:37","UF","Other","2/12/2023 22:56:15","2/13/2023 14:18:21",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
"J:\MB02_12\MB02_12_df24\LTSA_MB02_12_df24_5s_1Hz.ltsa","8/12/2024 13:37","UF","Other","2/13/2023 22:48:44","2/14/2023 14:24:05",NA,NA,NA,NA,NA,NA,"UF310",NA,NA
