"Input file","Event Number","Species Code","Call","Start time","End time","Parameter 1","Parameter 2","Parameter 3","Parameter 4","Parameter 5","Parameter 6","Comments","Image","Audio"
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:09","UF","Other","7/8/2022 11:23:45","7/8/2022 12:13:10",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:09","UF","Other","7/9/2022 2:57:51","7/9/2022 4:23:24",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:09","UF","Other","7/9/2022 4:10:04","7/9/2022 11:56:06",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:10","UF","Other","7/9/2022 11:56:06","7/9/2022 12:32:16",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:14","UF","Other","7/10/2022 3:09:14","7/10/2022 4:30:59",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:15","UF","Other","7/10/2022 4:11:59","7/10/2022 11:10:28",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:26","UF","Other","7/10/2022 11:31:23","7/10/2022 12:30:23",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:27","UF","Other","7/11/2022 4:11:58","7/11/2022 11:59:55",NA,NA,NA,NA,NA,NA,"Midshipman",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:27","UF","Other","7/11/2022 2:19:45","7/11/2022 4:38:38",NA,NA,NA,NA,NA,NA,"Off Effort",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:28","UF","Other","7/11/2022 11:46:35","7/11/2022 12:43:40",NA,NA,NA,NA,NA,NA,"Bocaccio sunrise",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:28","UF","Other","7/11/2022 3:37:43","7/11/2022 12:36:00",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:28","UF","Other","7/10/2022 3:09:14","7/10/2022 12:39:53",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:29","UF","Other","7/1/2022 3:41:30","7/1/2022 12:22:35",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:30","UF","Other","7/2/2022 3:39:36","7/2/2022 12:22:39",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:30","UF","Other","7/4/2022 3:28:14","7/4/2022 12:28:27",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:31","UF","Other","7/5/2022 3:20:36","7/5/2022 12:51:13",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:31","UF","Other","7/6/2022 3:14:52","7/6/2022 11:52:15",NA,NA,NA,NA,NA,NA,"Bocaccio",NA,NA
"J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa","8/7/2024 13:33","UF","Other","7/12/2022 3:16:47","7/12/2022 4:34:47",NA,NA,NA,NA,NA,NA,"Bocaccio sunset",NA,NA
